run,fitness,gap,time
1,479.5001,-16.34,0.72
2,479.5001,-16.34,0.96
3,487.9841,-14.86,1.01
4,470.0586,-17.98,1.21
5,470.0586,-17.98,1.02
6,541.4511,-5.53,1.06
7,487.9841,-14.86,1.34
8,476.9451,-16.78,1.16
9,479.5001,-16.34,1.23
10,470.0586,-17.98,1.17
11,476.9451,-16.78,1.05
12,479.5001,-16.34,1.01
13,476.9451,-16.78,1.40
14,476.9451,-16.78,1.32
15,470.0586,-17.98,1.06
16,493.6443,-13.87,0.96
17,470.0586,-17.98,0.95
18,470.0586,-17.98,1.19
19,470.0586,-17.98,1.03
20,470.0586,-17.98,1.16
